Topic,TokenCount,Words
0,1496,"sector manufacturing technology domestic limited engineering pli heavy industry public"
1,609,"film media radio mib broadcasting content certification communication cable press"
2,3952,"central interventions system specific crucial management international providing nodal entities"
3,697,"cooperative eastern mdoner pacs east region moc societies limited credit"
4,860,"legal justice molj courts constitutional commission law empowerment minorities judicial"
5,864,"mop data planning implementation ministries mpa parliament niti digital monitoring"
6,922,"telecom services digital information data meity technology electronics spectrum financial"
7,750,"youth tourism ports sports budget major maritime port trains shipping"
8,896,"forest climate moefcc animal fisheries change environment conservation coastal wildlife"
9,1014,"rural tribal gram scheduled panchayats mopr loans village areas rights"
10,1466,"food agricultural agriculture farmers processing price consumer moafw prices crop"
11,4459,"infrastructure body map handles schemes flagship historical bodies marker welfare"
12,986,"water urban mohua housing mojs disputes cities jal metro sanitation"
13,860,"science research ocean technology centre earth moes weather scientific sciences"
14,1181,"coal steel mines mining gas limited mineral minerals exploration natural"
15,1005,"policy civil transport air aviation safety aircraft road railway regional"
16,850,"defence corporate mod companies company mca insolvency limited forces military"
17,2793,"regulatory statutory public acts authority state regulates heavily board standards"
18,1006,"education skill training school institutes university schools statutory skilling vikas"
19,1022,"workers labour child women safety security industrial social central mole"
20,907,"cultural fertilizers heritage medical culture arts chemicals fertilizer urea subsidy"
21,1018,"energy power solar green grid hydrogen tax mnre financial mof"
22,1127,"security mea mha affairs force border foreign strategic domestic police"
23,1075,"trade export foreign policy commerce msme moci textiles micro industry"
24,994,"health ayush research medical medicine mohfw global council homoeopathy control"
