Topic,Ministry
0,Ministry_of_Heavy_Industries_MoHI_
1,Ministry_of_Information_and_Broadcasting_MIB_
2,Ministry_of_Agriculture_and_Farmers_Welfare_MoAFW_
3,Ministry_of_Cooperation_MoC_
4,Ministry_of_Law_and_Justice_MoLJ_
5,Ministry_of_Parliamentary_Affairs_MPA_
6,Ministry_of_Communications_MoC_
7,Ministry_of_Ports_Shipping_and_Waterways_MoPSW_
8,Ministry_of_Environment_Forest_and_Climate_Change_MoEFCC_
9,Ministry_of_Panchayati_Raj_MoPR_
10,Ministry_of_Consumer_Affairs_Food_and_Public_Distribution_MoCAF_PD_
11,Ministry_of_Housing_and_Urban_Affairs_MoHUA_
12,Ministry_of_Jal_Shakti_MoJS_
13,Ministry_of_Earth_Sciences_MoES_
14,Ministry_of_Coal_MoC_
15,Ministry_of_Civil_Aviation_MoCA_
16,Ministry_of_Defence_MoD_
17,Ministry_of_Consumer_Affairs_Food_and_Public_Distribution_MoCAF_PD_
18,Ministry_of_Education_MoE_
19,Ministry_of_Labour_and_Employment_MoLE_
20,Ministry_of_Culture
21,Ministry_of_Finance_MoF_
22,Ministry_of_Home_Affairs_MHA_
23,Ministry_of_Commerce_and_Industry_MoCI_
24,Ministry_of_AYUSH_MoA_
