Topic,Ministries
0,['Ministry_of_Heavy_Industries_MoHI_']
1,['Ministry_of_Information_and_Broadcasting_MIB_']
3,"['Ministry_of_Development_of_North_Eastern_Region_MDoNER_', 'Ministry_of_Cooperation_MoC_']"
4,"['Ministry_of_Law_and_Justice_MoLJ_', 'Ministry_of_Social_Justice_and_Empowerment_MoSJE_']"
5,"['Ministry_of_Statistics_and_Programme_Implementation_MoSPI_', 'Ministry_of_Planning_MoP_', 'Ministry_of_Parliamentary_Affairs_MPA_']"
6,"['Ministry_of_Electronics_and_Information_Technology_MeitY_', 'Ministry_of_Communications_MoC_']"
7,"['Ministry_of_Tourism_MoT_', 'Ministry_of_Youth_Affairs_and_Sports_MoYAS_', 'Ministry_of_Railways_MoR_', 'Ministry_of_Ports_Shipping_and_Waterways_MoPSW_']"
8,"['Ministry_of_Environment_Forest_and_Climate_Change_MoEFCC_', 'Ministry_of_Fisheries_Animal_Husbandry_and_Dairying_MoFAHD_']"
9,"['Ministry_of_Rural_Development_MoRD_', 'Ministry_of_Panchayati_Raj_MoPR_', 'Ministry_of_Tribal_Affairs_MoTA_']"
10,"['Ministry_of_Food_Processing_Industries_MoFPI_', 'Ministry_of_Consumer_Affairs_Food_and_Public_Distribution_MoCAF_PD_', 'Ministry_of_Agriculture_and_Farmers_Welfare_MoAFW_']"
12,"['Ministry_of_Housing_and_Urban_Affairs_MoHUA_', 'Ministry_of_Jal_Shakti_MoJS_']"
13,"['Ministry_of_Science_and_Technology_MST_', 'Ministry_of_Earth_Sciences_MoES_']"
14,"['Ministry_of_Mines_MoM_', 'Ministry_of_Petroleum_and_Natural_Gas_MoPNG_', 'Ministry_of_Steel_MoS_', 'Ministry_of_Coal_MoC_']"
15,"['Ministry_of_Civil_Aviation_MoCA_', 'Ministry_of_Road_Transport_and_Highways_MoRTH_']"
16,"['Ministry_of_Defence_MoD_', 'Ministry_of_Corporate_Affairs_MCA_']"
18,"['Ministry_of_Skill_Development_and_Entrepreneurship_MSDE_', 'Ministry_of_Minority_Affairs_MoMA_', 'Ministry_of_Education_MoE_']"
19,"['Ministry_of_Personnel_Public_Grievances_and_Pensions_MoPPGP_', 'Ministry_of_Women_and_Child_Development_MoWCD_', 'Ministry_of_Labour_and_Employment_MoLE_']"
20,"['Ministry_of_Culture', 'Ministry_of_Chemicals_and_Fertilizers_MoCF_']"
21,"['Ministry_of_Power_MoP_', 'Ministry_of_New_and_Renewable_Energy_MNRE_', 'Ministry_of_Finance_MoF_']"
22,"['Ministry_of_External_Affairs_MEA_', 'Ministry_of_Home_Affairs_MHA_']"
23,"['Ministry_of_Micro_Small_Medium_Enterprises_MoME_', 'Ministry_of_Textiles_MoT_', 'Ministry_of_Commerce_and_Industry_MoCI_']"
24,"['Ministry_of_AYUSH_MoA_', 'Ministry_of_Health_and_Family_Welfare_MoHFW_']"
