TopicID,Ministry,Score
0,Ministry_of_Heavy_Industries_MoHI_,0.49377944019377773
1,Ministry_of_Information_and_Broadcasting_MIB_,0.5034649493526056
2,Ministry_of_Minority_Affairs_MoMA_,0.3953028152632328
3,Ministry_of_Cooperation_MoC_,0.4498333276928622
4,Ministry_of_Law_and_Justice_MoLJ_,0.5697069904210676
5,Ministry_of_Parliamentary_Affairs_MPA_,0.5559196398244088
6,Ministry_of_Electronics_and_Information_Technology_MeitY_,0.5085401864615247
7,Ministry_of_Ports_Shipping_and_Waterways_MoPSW_,0.40918477829392025
8,Ministry_of_Environment_Forest_and_Climate_Change_MoEFCC_,0.42759072177725355
9,Ministry_of_Panchayati_Raj_MoPR_,0.5898786423945082
10,Ministry_of_Food_Processing_Industries_MoFPI_,0.5623822995048013
11,Ministry_of_Railways_MoR_,0.2594483220320396
12,Ministry_of_Jal_Shakti_MoJS_,0.562336990246736
13,Ministry_of_Earth_Sciences_MoES_,0.5913165998047577
14,Ministry_of_Mines_MoM_,0.47269527830983593
15,Ministry_of_Civil_Aviation_MoCA_,0.41306356939314537
16,Ministry_of_Defence_MoD_,0.5285972323012358
17,Ministry_of_Corporate_Affairs_MCA_,0.3947313937377075
18,Ministry_of_Skill_Development_and_Entrepreneurship_MSDE_,0.49402927634170657
19,Ministry_of_Labour_and_Employment_MoLE_,0.43881039432290786
20,Ministry_of_Chemicals_and_Fertilizers_MoCF_,0.3134486282638793
21,Ministry_of_New_and_Renewable_Energy_MNRE_,0.5294327419211278
22,Ministry_of_External_Affairs_MEA_,0.43900751674129224
23,Ministry_of_Textiles_MoT_,0.7277555057514857
24,Ministry_of_AYUSH_MoA_,0.5427570014124639
