word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
power,0,0,0.0050607287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031434185,0,0,0
mop,0,0,0,0,0,0.019675926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
genesis,0,0,0,0,0,0,0,0,0,0,0,0.011886073,0,0,0,0,0,0,0,0,0,0,0,0,0
historical,0,0,0,0,0,0,0,0,0,0,0,0.015698587,0,0,0,0,0,0,0,0,0,0,0,0,0
evolution,0,0,0.00025303644,0,0,0,0,0,0,0,0,0.012110339,0,0,0,0,0,0,0,0,0,0,0,0,0
formerly,0,0,0.0048076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038310413,0,0,0
restructured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099403579,0,0,0.00098231827,0,0,0
specifically,0,0,0.0060728745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033869602,0,0,0,0,0,0,0.0049115914,0,0,0
hydro,0.0020053476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068762279,0.0044365572,0,0
sectors,0,0,0,0,0,0,0,0,0,0,0,0.0047095761,0,0,0,0,0,0,0,0,0,0,0,0,0
grid,0,0,0.0010121457,0,0,0,0,0,0,0,0,0,0,0.0011627907,0,0,0,0,0,0,0,0.015717092,0,0,0
distribution,0,0,0,0,0,0,0,0,0,0,0.0068212824,0,0,0,0,0,0,0,0,0,0,0.012770138,0,0,0
reforms,0,0,0,0,0.0034883721,0,0,0,0,0,0,0,0,0,0.00084674005,0,0.0023529412,0,0,0.0039138943,0,0.0049115914,0,0,0
nation,0,0,0.0035425101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paradigm,0,0,0,0,0,0.0046296296,0,0,0,0,0,0.0047095761,0,0,0,0,0,0,0,0,0,0,0,0,0
marker,0,0,0,0,0,0,0,0,0,0,0,0.015474322,0,0,0,0,0,0,0,0,0,0,0,0,0
achieved,0,0,0.0010121457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
single,0,0,0.0063259109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synchronous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
entire,0,0,0,0,0,0,0,0,0,0,0,0.0029154519,0,0,0,0,0,0,0,0,0,0,0,0,0
country,0,0,0.0073380567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
modern,0,0,0,0,0,0,0,0,0,0,0,0.007625028,0,0,0,0,0,0,0,0,0,0,0,0,0
green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093141406,0.0049751244,0,0,0,0,0,0.02259332,0,0.0027906977,0
corridor,0,0,0,0.0028694405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0.00088731145,0.0018604651,0
integrate,0,0,0.0010121457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0,0,0,0
renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
draft,0,0,0,0,0,0,0,0,0,0,0,0.0011213277,0,0,0,0,0,0,0,0,0,0,0,0,0
electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098231827,0,0,0
policy,0,0,0,0,0,0,0,0,0,0,0,0.0082978246,0,0,0,0.019900498,0,0,0,0,0,0.011787819,0,0.019534884,0
nep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089463221,0,0,0,0,0,0
highest-priority,0,0,0,0,0,0,0,0,0,0,0,0.0022426553,0,0,0,0,0,0,0,0,0,0,0,0,0
arker,0,0,0,0,0,0,0,0,0,0,0,0.00089706212,0,0,0,0,0,0,0,0,0,0,0,0,0
released,0,0,0,0,0,0,0,0,0,0,0,0.0015698587,0,0,0,0,0,0,0,0,0,0,0,0,0
consultation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
targets,0,0,0,0,0,0,0,0,0,0,0,0.0022426553,0,0,0,0,0,0,0,0,0,0,0,0,0
increasing,0,0,0,0,0,0,0,0,0,0,0.0013642565,0.00067279659,0,0,0,0,0,0,0.00099403579,0,0,0,0,0,0
capita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
lectricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
consumption,0,0,0.0015182186,0,0,0,0,0,0,0,0,0,0,0,0.0025402202,0,0,0,0,0,0,0,0,0,0
kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
emphasizing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
decarbonization,0,0,0,0,0,0,0,0,0,0,0,0.00044853106,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
viksit,0,0,0,0,0,0,0,0.0066666667,0,0,0,0.00089706212,0,0,0,0,0,0,0,0,0,0,0,0,0
infrastructure,0,0.0016420361,0,0,0,0,0,0,0,0,0,0.023323615,0,0,0,0,0,0,0,0,0,0,0,0,0
crucial,0,0,0.016194332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distinction,0,0,0,0,0,0,0,0,0,0,0,0.0089706212,0,0,0,0,0,0,0,0.00097847358,0,0,0,0,0
mnre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014734774,0,0,0
handles,0,0,0,0,0,0,0,0,0,0,0,0.017492711,0,0,0,0,0,0,0,0,0,0,0.0070984916,0,0
utility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
plants,0,0,0,0,0,0,0,0,0,0,0,0.0029154519,0,0,0.0084674005,0,0,0,0,0,0,0,0,0,0.0060362173
hydro-electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
transmission,0,0,0.00025303644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058939096,0,0,0
lines,0,0,0,0,0,0,0,0,0,0,0,0.0013455932,0,0,0,0,0,0,0,0,0,0,0,0,0
smart,0,0,0,0,0,0,0,0,0,0,0,0.0035882485,0,0,0,0,0,0,0,0,0,0,0,0,0
meters,0,0,0,0,0,0,0,0,0,0,0,0.0011213277,0,0,0,0,0,0,0,0,0.0011025358,0,0,0,0
discoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049115914,0,0,0
source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099403579,0,0,0.0039292731,0,0,0
technology,0.020053476,0,0,0,0,0,0.01626898,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0
solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024557957,0,0,0
panels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
windmills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025402202,0,0,0,0,0,0,0.015717092,0,0,0
production,0,0,0,0,0,0,0,0,0,0,0,0.0062794349,0,0,0.0050804403,0,0,0,0,0,0,0,0,0,0
statutory,0.0006684492,0,0,0,0,0,0,0,0,0,0,0.011886073,0,0,0,0,0,0.023988543,0.010934394,0,0,0,0,0,0
regulatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027568922,0,0,0,0,0,0,0
autonomous,0,0.011494253,0,0,0,0,0,0,0,0,0,0.010316214,0,0,0,0,0,0,0.0059642147,0,0,0,0,0,0
bodies,0,0,0,0,0,0,0,0,0.0022321429,0,0,0.015698587,0,0,0,0,0,0.007518797,0,0,0,0,0,0,0
entities,0,0,0.011639676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prices,0.003342246,0,0,0,0,0,0,0,0,0,0.012960437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
you,0,0,0,0,0,0,0,0,0,0,0,0.00044853106,0,0,0,0,0,0,0,0,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028643036,0,0,0,0,0,0,0
stability,0,0,0,0,0,0,0,0,0,0,0.0013642565,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0
fficiency,0,0,0,0,0,0,0,0.0026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appliances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
central,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012720157,0,0,0,0,0
commission,0,0,0,0,0.01744186,0,0,0,0,0,0,0.003812514,0,0,0,0,0,0,0,0.0068493151,0,0,0,0,0.009054326
cerc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
apex,0,0,0.0075910931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,0,0,0,0,0,0.018389773,0,0,0,0,0,0,0.00099403579,0,0,0,0,0.00093023256,0
hat,0,0,0,0,0,0,0,0,0,0,0,0.0024669208,0,0,0,0,0,0,0,0,0,0,0,0,0
regulates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01575367,0,0,0,0,0,0,0
tariff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058939096,0,0.0027906977,0
utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007160759,0,0,0,0,0,0,0
inter-state,0,0,0,0,0,0,0,0,0,0,0,0,0.0040567951,0,0,0,0,0,0,0.00097847358,0,0.0019646365,0.0017746229,0,0
bureau,0,0.0032840722,0.0017712551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019569472,0,0,0.007985803,0,0
efficiency,0,0,0.0012651822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019646365,0,0,0
coordinates,0,0,0,0,0,0,0,0,0,0,0,0.0013455932,0,0,0,0,0,0,0,0,0,0,0,0,0
conservation,0,0,0,0,0,0,0,0,0.013392857,0,0,0.00044853106,0,0,0,0,0,0,0,0,0.0055126792,0.0019646365,0,0,0
programs,0,0,0,0,0,0,0,0,0,0,0,0.0015698587,0,0,0,0,0,0.0025062657,0,0,0,0,0,0,0
star,0.0013368984,0,0.00025303644,0,0,0,0,0.0066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rating/labelling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0,0,0,0
acs/fridges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035803795,0,0,0,0,0,0,0
pat,0.0006684492,0,0,0,0,0,0,0.0013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
achieve,0,0,0,0,0,0,0,0.0026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029469548,0,0,0.0020120724
trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048923679,0,0.0029469548,0,0.041860465,0
carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039292731,0,0,0
market,0,0,0,0,0,0,0,0,0,0,0.0088676671,0.00022426553,0,0,0,0,0.0035294118,0,0.00099403579,0,0,0.0049115914,0,0.0037209302,0
authority,0,0,0,0,0,0,0,0.0053333333,0,0,0,0,0,0,0,0,0,0.017185822,0,0,0,0,0,0,0
cea,0,0,0,0.0028694405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
technical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053705693,0.0069582505,0,0,0,0,0,0
hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098231827,0,0,0
